,Date,Country,City,Specie,count,min,max,median,variance
284,28/12/2020,VN,Ho Chi Minh City,temperature,24,24.0,32.0,27.0,70.71
285,07/01/2020,VN,Ho Chi Minh City,temperature,24,24.0,34.5,29.0,107.39
286,23/03/2020,VN,Ho Chi Minh City,temperature,24,27.0,34.0,28.0,68.24
287,25/04/2020,VN,Ho Chi Minh City,temperature,24,26.0,36.5,27.0,140.42
288,27/05/2020,VN,Ho Chi Minh City,temperature,24,24.0,35.5,28.5,109.67
289,11/06/2020,VN,Ho Chi Minh City,temperature,24,25.0,32.5,28.5,70.22
290,18/09/2020,VN,Ho Chi Minh City,temperature,24,25.0,30.5,26.5,22.71
291,05/08/2020,VN,Ho Chi Minh City,temperature,24,23.0,32.5,26.0,94.52
292,05/01/2021,VN,Ho Chi Minh City,temperature,24,24.0,32.0,27.0,66.84
293,18/04/2020,VN,Ho Chi Minh City,temperature,24,26.0,35.0,29.0,82.39
294,14/05/2020,VN,Ho Chi Minh City,temperature,24,29.0,37.0,31.0,63.76
295,11/07/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.0,29.0,66.36
296,29/12/2020,VN,Ho Chi Minh City,temperature,24,25.0,33.0,27.0,79.23
297,08/01/2020,VN,Ho Chi Minh City,temperature,24,25.0,34.5,28.0,100.87
298,11/01/2020,VN,Ho Chi Minh City,temperature,24,24.0,32.0,27.0,58.41
299,20/06/2020,VN,Ho Chi Minh City,temperature,24,26.0,34.0,30.0,60.87
300,30/04/2020,VN,Ho Chi Minh City,temperature,24,26.5,36.5,30.0,97.28
301,10/12/2020,VN,Ho Chi Minh City,temperature,24,25.0,31.5,27.0,41.59
302,15/01/2021,VN,Ho Chi Minh City,temperature,24,21.0,30.5,25.0,93.33
303,09/03/2020,VN,Ho Chi Minh City,temperature,24,27.0,34.5,28.5,72.45
304,20/04/2020,VN,Ho Chi Minh City,temperature,24,28.0,35.5,29.5,81.07
305,21/08/2020,VN,Ho Chi Minh City,temperature,24,26.5,34.0,29.0,62.81
